InvoiceNo,CustomerID,StockCode,Quantity,UnitPrice,InvoiceDate
938927,10200,F600,6,112.61,2023-06-27
878883,10079,G700,16,121.35,2023-11-21
286833,10031,D400,1,140.75,2023-10-12
922513,10179,A100,5,76.83,2023-02-14
447860,10067,D400,4,118.2,2023-07-15
519048,10241,F600,15,121.4,2023-08-04
178781,10016,C300,11,20.25,2023-06-18
932595,10054,B200,10,144.01,2023-08-03
178116,10079,F600,3,125.69,2023-08-12
465890,10068,D400,7,36.27,2023-12-12
880641,10037,B200,9,134.99,2023-07-10
207449,10165,C300,10,4.1,2023-11-01
837090,10186,G700,3,93.41,2023-11-27
798802,10208,E500,4,112.07,2023-02-25
138211,10044,D400,7,117.34,2023-01-24
541441,10230,F600,4,82.69,2023-11-11
876665,10023,G700,3,58.57,2023-12-12
918749,10119,F600,14,67.69,2023-05-16
244282,10233,D400,19,138.24,2023-03-25
864777,10083,F600,15,143.01,2023-03-04
120655,10079,A100,5,129.99,2023-05-27
198818,10189,C300,11,83.75,2023-03-02
799151,10007,B200,19,38.89,2023-06-10
639087,10016,F600,16,95.63,2023-08-06
882215,10016,G700,12,70.67,2023-08-09
389962,10226,C300,1,70.54,2023-08-14
558298,10144,B200,15,76.97,2023-07-26
665369,10033,G700,6,6.01,2023-06-18
753881,10175,D400,18,128.23,2023-03-31
327966,10110,E500,11,50.48,2023-01-05
247443,10157,A100,8,58.67,2023-08-17
966964,10235,E500,17,18.74,2023-12-22
855728,10092,C300,2,78.93,2023-03-10
273423,10084,E500,16,70.87,2023-03-22
238009,10246,C300,15,20.38,2023-09-11
538469,10148,B200,17,86.81,2023-12-25
296846,10014,D400,9,105.47,2023-04-28
737147,10173,E500,15,117.21,2023-01-09
866535,10000,A100,3,95.8,2023-08-16
765643,10073,F600,12,129.54,2023-08-11
694557,10119,E500,6,122.0,2023-11-22
256730,10070,B200,18,147.87,2023-08-31
156633,10080,D400,4,63.23,2023-12-22
392822,10209,B200,9,102.17,2023-06-21
727503,10042,F600,14,66.87,2023-12-20
754811,10066,C300,12,144.29,2023-04-21
396208,10121,E500,19,50.02,2023-05-17
721527,10218,C300,2,31.6,2023-04-09
922494,10167,A100,19,124.73,2023-03-09
985691,10088,C300,2,108.64,2023-09-21
653083,10221,D400,7,50.97,2023-10-21
111962,10162,B200,9,147.8,2023-01-12
920580,10216,G700,13,147.91,2023-06-27
655839,10116,A100,10,120.53,2023-07-28
747099,10121,A100,18,75.61,2023-03-13
872268,10076,E500,10,79.69,2023-09-07
521818,10062,C300,1,35.51,2023-04-23
763759,10102,D400,10,19.91,2023-10-02
553449,10036,E500,9,123.12,2023-06-18
893583,10031,B200,12,57.42,2023-10-11
441383,10145,B200,3,10.25,2023-03-19
499437,10213,B200,1,97.22,2023-12-05
597599,10223,D400,9,77.11,2023-12-08
448951,10168,F600,6,24.32,2023-10-27
675644,10082,A100,8,19.38,2023-03-22
737509,10151,E500,15,66.6,2023-12-04
415507,10026,E500,15,104.06,2023-01-16
354265,10102,E500,17,88.47,2023-04-16
282220,10016,D400,13,79.32,2023-04-03
738387,10059,C300,16,100.87,2023-07-23
517567,10142,D400,13,57.48,2023-04-30
551015,10025,D400,10,126.88,2023-03-16
279635,10090,E500,14,121.18,2023-07-04
636159,10176,D400,13,121.9,2023-08-18
325469,10016,E500,8,98.68,2023-07-02
272857,10144,E500,12,101.23,2023-03-11
144238,10039,D400,14,23.03,2023-10-14
968212,10218,F600,15,147.9,2023-08-05
319222,10084,C300,13,80.61,2023-06-18
244353,10081,F600,12,107.42,2023-04-08
839127,10188,G700,15,30.5,2023-01-21
900921,10173,G700,10,125.05,2023-01-30
949375,10220,C300,19,139.59,2023-07-30
560796,10201,B200,4,31.83,2023-05-02
719003,10245,D400,16,88.27,2023-10-26
177794,10020,F600,1,117.42,2023-05-24
168926,10095,E500,18,40.64,2023-07-28
526577,10126,D400,17,29.58,2023-07-04
353017,10192,C300,12,125.42,2023-11-20
497819,10108,C300,9,84.23,2023-04-18
527709,10027,A100,13,78.24,2023-10-05
110785,10091,B200,19,48.57,2023-02-08
633008,10229,F600,9,88.08,2023-10-29
249849,10102,D400,8,141.53,2023-11-19
287921,10009,D400,4,45.4,2023-10-06
514994,10023,G700,9,16.59,2023-06-23
328300,10054,A100,4,111.97,2023-04-19
173870,10141,B200,11,53.73,2023-08-15
165524,10215,G700,12,116.14,2023-05-22
294999,10077,D400,15,145.22,2023-08-13
619332,10150,G700,7,63.43,2023-05-29
528733,10098,F600,15,84.81,2023-11-01
780089,10121,F600,13,136.26,2023-08-24
381209,10049,A100,13,36.84,2023-12-25
120855,10016,G700,17,134.23,2023-11-16
969741,10202,G700,15,138.1,2023-08-02
785117,10187,D400,6,65.49,2023-05-19
477972,10238,D400,6,48.8,2023-02-08
654661,10089,A100,14,18.08,2023-04-24
688612,10092,G700,11,98.99,2023-07-03
332076,10106,A100,19,89.34,2023-04-19
520602,10037,E500,1,82.24,2023-10-10
387139,10041,C300,9,17.51,2023-07-18
728880,10070,C300,10,50.37,2023-11-15
504499,10064,D400,17,123.41,2023-03-01
194475,10144,B200,17,127.3,2023-01-03
418903,10100,F600,15,124.29,2023-10-02
416837,10212,B200,17,149.24,2023-09-30
790493,10100,A100,12,9.55,2023-12-25
594178,10204,B200,10,30.06,2023-06-11
554485,10117,D400,11,22.42,2023-10-02
967964,10221,C300,17,107.83,2023-11-04
363606,10214,F600,6,31.78,2023-05-24
322128,10025,A100,12,14.65,2023-08-08
627759,10064,B200,12,2.19,2023-07-14
727835,10228,D400,12,16.55,2023-10-17
641357,10233,C300,1,122.08,2023-01-07
773218,10061,E500,2,36.19,2023-12-09
720343,10012,G700,17,98.41,2023-05-12
478892,10022,F600,12,42.85,2023-07-28
250528,10061,D400,15,23.72,2023-04-28
247977,10022,B200,15,42.55,2023-12-22
